,id,name,price,price_ca,price_uk,price_au,discount,year_published,min_players,max_players,min_playtime,max_playtime,min_age,comment_count,num_user_ratings,average_user_rating,average_learning_complexity,average_strategy_complexity,visits,plays,listing_clicks,is_historical_low,players,playtime,name_lower,index
81,NmyIwvsnuD,Dragon Stew: a 5th Edition Cooking Supplemental,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,171,0,0,False,,,dragon stew: a 5th edition cooking supplemental,
83,XP50SaWgKf,Quest + Avalon Deluxe!,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,171,0,0,False,,,quest + avalon deluxe!,
84,iExeNmCdHT,Stellaris: The Ether Drake,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,170,0,0,False,,,stellaris: the ether drake,
85,DFWC8R8kgm,Success Factors: A board game about economics,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,170,0,0,False,,,success factors: a board game about economics,
86,fjPdZpnP6p,Rescuing Robin Hood,35.99,38.95,0.00,67.95,0.10,2021.0,1.0,5.0,30.0,60.0,10.0,0,0,0.0,0.0,0.0,170,0,50,False,1-5,30-60,rescuing robin hood,
87,DsTziT1bbE,Lost Ship,0.00,0.00,0.00,0.00,0.00,2020.0,1.0,2.0,60.0,120.0,,0,0,0.0,0.0,0.0,169,0,0,False,1-2,60-120,lost ship,
88,Q2AEpjSNwZ,The Dark Eye: Magic of Aventuria,47.06,0.00,0.00,0.00,0.06,2021.0,,,,,,0,0,0.0,0.0,0.0,168,0,0,False,,,the dark eye: magic of aventuria,
90,8jGol53x7i,Upzone - The Pop Up Wargaming & RPG Terrain System,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,168,0,0,False,,,upzone - the pop up wargaming & rpg terrain system,
91,aKCImU4dcE,The Specialists,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,168,1,0,False,,,the specialists,
92,tAlA1WlZ2P,i'm sorry did you say street magic,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,166,0,0,False,,,i'm sorry did you say street magic,
93,GDGRV3a1Ws,Leagues of Gothic Horror RPG Expansions,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,166,0,0,False,,,leagues of gothic horror rpg expansions,
94,hBmm2Of6i2,Antinomy,0.00,0.00,0.00,0.00,0.00,2019.0,2.0,2.0,20.0,30.0,8.0,0,7,3.571428571428571,0.0,0.0,166,37,0,False,2,20-30,antinomy,
95,TtMAhSVobn,Dungeon Decorators,30.45,36.99,34.19,63.95,0.29,2021.0,2.0,4.0,40.0,80.0,10.0,0,0,0.0,0.0,0.0,166,21,0,True,2-4,40-80,dungeon decorators,
96,JqQqlyJnR8,Ultimate Bestiary: The Dreaded Accursed for 5th Edition!,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,165,0,0,False,,,ultimate bestiary: the dreaded accursed for 5th edition!,
97,2IEZTrj0Im,Animal Adventures: Tales of Cats and Catacombs,0.00,41.95,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,165,0,0,False,,,animal adventures: tales of cats and catacombs,
99,lg61xOq0kG,Valknut,0.00,32.50,0.00,0.00,0.00,2020.0,2.0,4.0,15.0,30.0,14.0,0,0,0.0,0.0,0.0,164,6,0,False,2-4,15-30,valknut,
0,btHkTblZxg,VERDUN: STEEL INFERNO,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,163,0,0,False,,,verdun: steel inferno,
1,7Gqw0Wzvq7,Space Weirdos,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,163,0,0,False,,,space weirdos,
2,YeTB197zmV,Slipgate Chokepoint,4.49,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,162,0,0,False,,,slipgate chokepoint,
