;average_learning_complexity;average_strategy_complexity;average_user_rating;comment_count;discount;id;is_historical_low;listing_clicks;max_players;max_playtime;min_age;min_players;min_playtime;name;num_user_ratings;players;plays;playtime;price;price_au;price_ca;price_uk;visits;year_published;name_lower
46;0.0;0.0;4.25;0;0.37;HtvoF06GIR;False;0;8.0;90.0;8.0;2.0;90.0;Monopoly: The Mega Edition;4;2-8;1;90;25.08;39.00;39.99;0.00;114;2006.0;monopoly: the mega edition
47;0.0;0.0;3.046875;0;0.00;Eo20cnbWi7;True;0;6.0;120.0;13.0;3.0;120.0;Wealth of Nations;16;3-6;35;120;0.00;0.00;0.00;0.00;114;2008.0;wealth of nations
48;0.0;0.0;2.5999999999999996;0;0.00;6cQSK0E26Y;False;0;10.0;180.0;8.0;2.0;180.0;Monopoly Deluxe Edition;10;2-10;5;180;93.73;0.00;0.00;0.00;108;1995.0;monopoly deluxe edition
49;0.0;0.0;0.0;0;0.46;NP1G8u14GN;False;0;6.0;120.0;8.0;2.0;120.0;Monopoly: Ghostbusters;0;2-6;0;120;21.49;59.95;47.95;0.00;107;2016.0;monopoly: ghostbusters
51;0.0;0.0;0.0;0;0.00;DzcwwpKw2s;False;0;6.0;60.0;8.0;2.0;60.0;Monopoly: Golf – Signature Holes Edition;0;2-6;0;60;0.00;0.00;0.00;0.00;105;2008.0;monopoly: golf – signature holes edition
53;0.0;0.0;1.25;0;0.00;Q9JYAUEjoO;True;0;8.0;60.0;8.0;2.0;60.0;Monopoly: The .Com Edition;2;2-8;0;60;0.00;0.00;0.00;0.00;102;2000.0;monopoly: the .com edition
54;0.0;0.0;3.0;0;0.00;aNduCVVtPD;False;0;6.0;160.0;8.0;2.0;160.0;Monopoly: Electronic Banking;5;2-6;7;160;0.00;0.00;0.00;0.00;101;2007.0;monopoly: electronic banking
55;0.0;0.0;2.0;0;0.00;dzXut8461l;False;0;6.0;120.0;8.0;2.0;120.0;Anti-Monopoly II;1;2-6;31;120;0.00;0.00;0.00;0.00;101;1977.0;anti-monopoly ii
57;0.0;0.0;0.0;0;0.00;XPmvpV8GIa;False;0;6.0;60.0;8.0;2.0;60.0;San Francisco-opoly;0;2-6;0;60;22.95;0.00;0.00;0.00;98;2000.0;san francisco-opoly
58;0.0;0.0;2.125;0;0.19;3WnAdEnUZj;False;0;6.0;120.0;8.0;2.0;120.0;Monopoly: Pokemon;4;2-6;1;120;179.99;0.00;0.00;0.00;95;1995.0;monopoly: pokemon
59;0.0;0.0;2.5;0;0.00;k20IDcYPNP;False;0;6.0;100.0;8.0;2.0;100.0;Monopoly: The Wizard of Oz 75th Anniversary Collector's Edition;2;2-6;0;100;250.85;0.00;0.00;0.00;95;2014.0;monopoly: the wizard of oz 75th anniversary collector's edition
60;0.0;0.0;2.416666666666667;0;-0.92;uw5lUQiG0M;False;0;6.0;60.0;8.0;2.0;60.0;Monopoly: The Lord of the Rings Trilogy Edition;12;2-6;5;60;114.95;0.00;0.00;0.00;93;2003.0;monopoly: the lord of the rings trilogy edition
61;0.0;0.0;2.541666666666667;0;0.00;XGqm4NFiqV;False;0;4.0;25.0;8.0;2.0;10.0;Monopoly Empire;6;2-4;17;10-25;77.99;0.00;0.00;0.00;91;2013.0;monopoly empire
62;0.0;0.0;2.7142857142857144;0;0.00;m4HAMxfrRz;False;0;5.0;60.0;14.0;2.0;60.0;Filthy Rich;7;2-5;12;60;0.00;0.00;0.00;0.00;91;1998.0;filthy rich
64;0.0;0.0;2.888888888888889;0;0.00;scxNc5imuA;False;0;6.0;360.0;12.0;2.0;360.0;"Supremacy; the Game of Superpowers";9;2-6;0;;74.99;0.00;0.00;0.00;90;1984.0;"supremacy; the game of superpowers"
66;3.0;3.0;4.0;0;0.00;wOJapAD47s;False;0;4.0;200.0;14.0;2.0;40.0;LANDER;1;2-4;0;40-200;0.00;0.00;0.00;0.00;89;2020.0;lander
67;0.0;0.0;2.0;0;0.00;6LBnSnm5QQ;False;0;0.0;180.0;0.0;0.0;60.0;Monopoly: The Legend of Zelda;4;;2;60-180;0.00;0.00;0.00;0.00;87;2014.0;monopoly: the legend of zelda
68;0.0;0.0;0.0;0;0.00;Up4131sY2K;False;0;8.0;90.0;8.0;2.0;90.0;Monopoly: Coca-Cola Collector's Edition;0;2-8;0;90;0.00;0.00;0.00;0.00;87;1996.0;monopoly: coca-cola collector's edition
69;0.0;0.0;2.8749999999999996;0;0.00;mAhScv5sGJ;False;0;;;;;;Monopoly Express;12;;43;;36.80;0.00;0.00;0.00;86;;monopoly express
70;0.0;0.0;0.0;0;0.10;aXP6Njf1o9;False;0;6.0;40.0;8.0;2.0;40.0;Monopoly: Planet of the Apes;0;2-6;0;40;35.95;0.00;49.99;0.00;85;2017.0;monopoly: planet of the apes
71;0.0;0.0;0.0;0;0.00;4OwGKITdUC;False;0;6.0;180.0;8.0;2.0;60.0;Monopoly: Chester Cathedral;0;2-6;0;60-180;49.95;0.00;0.00;0.00;83;2017.0;monopoly: chester cathedral
72;0.0;0.0;0.0;0;0.00;QxZbD34pFh;False;0;6.0;90.0;;2.0;90.0;Mega Bucks;0;2-6;0;90;0.00;0.00;0.00;0.00;83;;mega bucks
73;0.0;0.0;2.0;0;0.00;7fDufOqd69;False;0;6.0;60.0;8.0;2.0;60.0;Monopoly: Nintendo;2;2-6;0;60;0.00;0.00;0.00;0.00;82;2006.0;monopoly: nintendo
75;0.0;0.0;0.0;0;0.31;WLtRKj6jH2;False;0;6.0;120.0;8.0;2.0;120.0;Brew-opoly;0;2-6;0;120;17.36;0.00;0.00;0.00;82;2000.0;brew-opoly
